_id,payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update
68f0ca77a9bfe00e38271e95,1,1,1,76,2.99,2005-05-25T11:30:37.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e96,2,1,1,573,0.99,2005-05-28T10:35:23.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e97,3,1,1,1185,5.99,2005-06-15T00:54:12.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e98,4,1,2,1422,0.99,2005-06-15T18:02:53.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e99,5,1,2,1476,9.99,2005-06-15T21:08:46.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e9a,6,1,1,1725,4.99,2005-06-16T15:18:57.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e9b,7,1,1,2308,4.99,2005-06-18T08:41:48.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e9c,8,1,2,2363,0.99,2005-06-18T13:33:59.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e9d,9,1,1,3284,3.99,2005-06-21T06:24:45.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e9e,10,1,2,4526,5.99,2005-07-08T03:17:05.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271e9f,11,1,1,4611,5.99,2005-07-08T07:33:56.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271ea0,12,1,1,5244,4.99,2005-07-09T13:24:07.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271ea1,13,1,1,5326,4.99,2005-07-09T16:38:01.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271ea2,14,1,1,6163,7.99,2005-07-11T10:13:46.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271ea3,15,1,2,7273,2.99,2005-07-27T11:31:22.000Z,2006-02-15T22:12:30.000Z
68f0ca77a9bfe00e38271ea4,16,1,1,7841,4.99,2005-07-28T09:04:45.000Z,2006-02-15T22:12:30.000Z
